fecha,evento,clasificacion,revision,fuente
30/05/2024,Preparación CKAD ( Certified Kubernetes Application Developer  Practice Exams),Comunidad,Preparación CKAD mediante simulacros; no equivale a certificación emitida por la comunidad.,https://ocgroups.dev/cncf/group/nmmzkrs/event/7fbdg9q
29/04/2024,Preparación KCNA (Kubernetes and Cloud Native Associate Practice Exams),Comunidad,"Preparación KCNA con simulacros y recursos; ficha similar a la del 23 de abril, con fecha distinta.",https://ocgroups.dev/cncf/group/nmmzkrs/event/ememht7
23/04/2024,Preparación KCNA (Kubernetes and Cloud Native Associate Practice Exams),Comunidad,"Preparación KCNA con simulacros y recursos; conservar como sesión separada, no deduplicar solo por título.",https://ocgroups.dev/cncf/group/nmmzkrs/event/6hhs3ff
19/04/2024,Cloud Native Lima - Meetup #4 - Drinks & Lighting Talks,Comunidad,"Charlas breves sobre KubeCon/KCD, ciberseguridad, OpenTelemetry y comunidad.",https://ocgroups.dev/cncf/group/nmmzkrs/event/k6qzm6r
18/01/2024,Cloud Native Lima - Meetup #3,Comunidad,"Encuentro híbrido: configuración y secretos en Kubernetes, y almacenamiento para Kafka.",https://ocgroups.dev/cncf/group/nmmzkrs/event/j29xvkw
20/12/2023,Cloud Native Lima - Meetup #2,Comunidad,Encuentro híbrido con introducción al release de Kubernetes y colaboración en traducciones.,https://ocgroups.dev/cncf/group/nmmzkrs/event/8fgq8z4
11/12/2023,test,Prueba — excluir,Registro de prueba; no usar como evidencia de actividad en UTP.,https://ocgroups.dev/cncf/group/nmmzkrs/event/h3ur527
30/11/2023,Cloud Native Lima - Meetup #1,Comunidad,Inicio de la serie Cloud Native Lima: contribución open source y fundamentos Kubernetes.,https://ocgroups.dev/cncf/group/nmmzkrs/event/gzxebca
30/11/2023,test,Prueba — excluir,Registro de prueba; excluido de la presentación.,https://ocgroups.dev/cncf/group/nmmzkrs/event/ne8y2kj
28/11/2023,test,Prueba — excluir,Registro de prueba; excluido de la presentación.,https://ocgroups.dev/cncf/group/nmmzkrs/event/ppj7acf
13/11/2023,testte,Prueba — excluir,Registro de prueba; excluido de la presentación.,https://ocgroups.dev/cncf/group/nmmzkrs/event/msey93f
23/12/2019,Meetup Diciembre de Cloud Native Perú,Archivo heredado,"Archivo Cloud Native Perú: serverless con KEDA, GitOps y observabilidad.",https://ocgroups.dev/cncf/group/nmmzkrs/event/jw3tmg5
28/10/2019,Meetup Octubre Cloud Native Perú,Archivo heredado,"Archivo Cloud Native Perú: OAuth 2, Prometheus y escalamiento de Kubernetes.",https://ocgroups.dev/cncf/group/nmmzkrs/event/dx4qd66
19/10/2019,Meetup Online - Do it yourself your Kubernetes,Archivo heredado,"Encuentro virtual conjunto con comunidades de Perú, Guadalajara y México; ubicación estructurada genérica.",https://ocgroups.dev/cncf/group/nmmzkrs/event/24cp8d3
27/08/2019,Meetup Agosto - Relanzamiento de la Comunidad,Archivo heredado,"Archivo Cloud Native Perú: fundamentos, patrones y chaos engineering.",https://ocgroups.dev/cncf/group/nmmzkrs/event/7cbw7s7
19/04/2018,Meetup Abril,Archivo heredado,Archivo heredado: Kubernetes 101 y Jenkins X.,https://ocgroups.dev/cncf/group/nmmzkrs/event/a8pa4tz
15/02/2018,Meetup #1,Archivo heredado,Archivo heredado: introducción cloud native y Docker Swarm.,https://ocgroups.dev/cncf/group/nmmzkrs/event/hzetkne
